Dam ID,Dam Name,Other Dam Names,NID ID,WDID,Administration Type,Physical Status,Div,WD,County,PM,Township,Range,Section,Q160,Q40,UTM x,UTM y,Latitude,Longitude,Location Accuracy,Stream,Downstream Town,Town Distance,Year Completed,Purposes,Federal Land,Federal Regulations,Dam Type,Dam Length,Dam Height,Crest Elevation,Normal Storage,Surface Area,Drainage Area,Spillway Capacity,Outlet Description,Outlet Capacity,Outlet Inspection Date,Hazard Class,EAP,EAP Date,EAP Inundation Map,Inundation Map Date,Last Inspection Date,Overall Conditions,Safe Storage,Inspector,Current Restrictions,Primary Name,Primary Contact,Assigned To,Modified,More Information,
"010102","ADAMS & BUNKER #1","","CO01761","0103917","Jurisdictional Dam","Active","1","1","WELD","S","11.0 N","63.0 W","36","NE","NW","552351.8","4526022.6","40.883620","-104.378618","GPS","PORTER CREEK","BRIGGSDALE","17","","I","N","N","RE","788.00","18.10","5182.00","240","58","85120","20000.00","18 STEEL & RCP","17.00","","Low","Not Required","","No","","09/15/2016","Conditionally Satisfactory","Conditional Full Storage","JHB","No","LLOYD LAMBERTSON,  ","LLOYD LAMBERTSON","JHB","12/16/2016 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010102",
"010103","ADAMS & BUNKER #2","","CO01762","0103385","Non-Jurisdictional Dam","Active","1","1","WELD","S","10.0 N","62.0 W","6","NW","SW","552902.3","4524330.2","40.868334","-104.372234","GPS","LITTLE CROW CREEK","BRIGGSDALE","16","1973","I","N","N","RE","836.00","14.00","5090.00","84","16","3648","5800.00","24 X18 CMP","24.00","","Low","Not Required","","No","","05/09/1991","","","","No","LLOYD LAMBERTSON,  ","LLOYD LAMBERTSON","","11/05/1991 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010103",
"010104","ADAMS & BUNKER #3","HEART #2","CO01189","0103386","Jurisdictional Dam","Active","1","1","WELD","S","10.0 N","62.0 W","6","NW","NW","553110.1","4524732.5","40.871942","-104.369732","GPS","PORTER CREEK","BRIGGSDALE","16","1906","I","N","N","RE","1580.00","15.50","5120.00","400","50","85410","1100.00","24 CMP","32.00","","Low","Not Required","","No","","09/16/2016","Unsatisfactory","Continue Existing Restriction","JHB","YES","LLOYD LAMBERTSON,  ","LLOYD LAMBERTSON","JHB","03/05/2002 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010104",
"010105","AGATE NO 1","BALL RESERVOIR","CO00002","","Jurisdictional Dam","Active","1","1","ELBERT","S","7.0 S","59.0 W","2","NW","NE","589120.1","4369693.7","39.472229","-103.963901","GPS","EAST BIJOU CREEK","DEER TRAIL","11","1890","I","N","N","RE","4100.00","18.00","5420.00","2800","286","16000","5528.00","24 CMP+24 CIP","44.00","","Low","Not Required","","No","","12/15/2023","Satisfactory","Full Storage","KEB","No","MCCARTY, LARRY (LARRY MCCARTY)","LARRY MCCARTY","KEB","02/21/2019 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010105",
"010107","ALLAN BROS. FLOOD CONT.","","","","Non-Jurisdictional Dam","Active","1","1","WELD","S","10.0 N","58.0 W","22","","","","","","","Spotted from quarters","NORTH PAWNEE","STERLING","42","","C","N","N","RE","650.00","14.00","4820.00","15","5","1248","1342.00","12 CMP","5.00","","Low","Not Required","","No","","","","","","No","ALLAN BROS.","ALLAN BROS.","","06/25/1991 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010107",
"010108","ANTELOPE","","CO02299","0103642","Jurisdictional Dam","Active","1","1","WELD","S","8.0 N","65.0 W","18","SW","SW","524187.3","4500499.2","40.655004","-104.713904","GPS","SPRING CREEK","HARDIN","31","1899","I","N","N","RE","250.00","15.00","5040.00","230","64","229","200.00","","0.00","","Low","Not Required","","No","","04/19/2016","Satisfactory","Full Storage","jhb","No","CITY OF THORTON-FARM OPERATIONS (BRIAN FOSS)","BRIAN FOSS","JHB","02/19/2019 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010108",
"010112","BETTALE #1","","CO00066","","Jurisdictional Dam","Active","1","1","MORGAN","S","5.0 N","57.0 W","20","NW","NE","603497.7","4471758.6","40.390010","-103.780566","GPS","ROCK SPRINGS DRAW","BRUSH","10","1967","IP","N","N","RE","340.00","18.50","0.00","49","9","2200","5880.00","12 CSP","6.00","","N","Not Required","","No","","","","","","No","MRS. FRANK WHITNEY","","JHB","01/08/2013 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010112",
"010113","BEUCK","","CO03064","0103584","Non-Jurisdictional Dam","Active","1","1","ELBERT","S","7.0 S","59.0 W","4","SW","NW","585374.3","4369158.7","39.467789","-104.007514","GPS","EAST BIJOU CREEK","DEER TRAIL","8","","P","N","N","RE","0.00","8.00","5600.00","75","15","0","0.00","","0.00","","Low","Not Required","","No","","04/22/2002","","","DS2","No","ED GEESEN","ED GEESEN","KEB","12/22/2022 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010113",
"010114","BIG FIVE","","","0103611","Jurisdictional Dam","Active","1","1","ADAMS","S","3.0 S","64.0 W","25","","","","","","","Spotted from quarters","LOST CREEK","PROSPECT VALLEY","23","","","N","N","RE","0.00","16.00","0.00","385","55","0","0.00","","0.00","","N","No","","No","","","","","","No","","","","","https://dwr.state.co.us/Tools/DamSafety/Details/010114",
"010115","BIJOU #2 DAM #1","","CO00003","0103570","Jurisdictional Dam","Active","1","1","MORGAN","S","4.0 N","59.0 W","22","SW","NW","586741.7","4460970.0","40.294738","-103.979424","GPS","SOUTH PLATTE RIVER","LOG LANE VILLAGE","5","1898","IS","N","N","RE","2100.00","21.50","4451.00","5000","473","1685","0.00","Outlet located off the dam. 36-inch RCP 1,300 feet long. Outfalls to Bijou Creek.","109.00","","Significant","Yes","05/09/2022","Yes","03/31/2022","05/26/2023","Conditionally Satisfactory","Continue Existing Restriction","JHB","YES","BIJOU IRRIGATION CO. (BROWNELL, JILL)","JILL BROWNELL","JHB","05/09/2022 00:00","https://dwr.state.co.us/Tools/DamSafety/Details/010115",
